,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,MinutesPer90,Goals,Assists,GoalsAndAssists,NonPenaltyGoals,PenaltiesScored,PenaltiesAttempted,CrdY,CrdR,ExpGoals,NPExpGoals,ExpAssists,NPExpGoalsAndAssists,PrgC,PrgP,PrgR,GoalsPer90,AssistsPer90,GoalsAndAssistsPer90,NPGoalsPer90,NPGoalsAndAssistsPer90,ExpGoalsPer90,ExpAssistsPer90,ExpGoalsAndAssistsPer90,NPExpGoalsPer90,NPExpGoalsAndAssistsPer90
2173,Patrick Drewes,GER,GK,Bochum,Bundesliga,31,21,21,1890,21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2174,Patrick Erras,GER,DF,Holstein Kiel,Bundesliga,29,10,10,832,9.2,1,0,1,1,0,0,2,0,0.9,0.9,0.1,1.0,3,25,1,0.11,0.0,0.11,0.11,0.11,0.1,0.01,0.11,0.1,0.11
2175,Patrick Mainka,GER,DF,Heidenheim,Bundesliga,29,34,34,3060,34.0,1,1,2,1,0,0,3,0,1.9,1.9,0.3,2.3,21,102,12,0.03,0.03,0.06,0.03,0.06,0.06,0.01,0.07,0.06,0.07
2176,Patrick Osterhage,GER,MF,Freiburg,Bundesliga,24,30,27,2267,25.2,1,0,1,1,0,0,6,1,1.7,1.7,1.4,3.1,26,73,50,0.04,0.0,0.04,0.04,0.04,0.07,0.06,0.12,0.07,0.12
2177,Patrick Wimmer,AUT,"MF,FW",Wolfsburg,Bundesliga,23,29,22,1770,19.7,3,4,7,3,0,0,5,1,3.7,3.7,2.9,6.7,46,91,75,0.15,0.2,0.36,0.15,0.36,0.19,0.15,0.34,0.19,0.34
2178,Patrik Carlgren,SWE,GK,Nantes,Ligue 1,32,5,4,417,4.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2179,Patrik Schick,CZE,FW,Leverkusen,Bundesliga,28,31,19,1684,18.7,21,0,21,20,1,1,4,0,12.7,11.9,0.6,12.5,7,21,107,1.12,0.0,1.12,1.07,1.07,0.68,0.03,0.71,0.63,0.67
2180,Patrizio Masini,ITA,MF,Genoa,Serie A,23,26,16,1538,17.1,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,16,44,27,0.06,0.0,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04
2181,Patson Daka,ZAM,"FW,MF",Leicester City,Premier League,25,23,6,736,8.2,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.3,11,8,36,0.12,0.0,0.12,0.12,0.12,0.15,0.01,0.16,0.15,0.16
2182,Pau Cabanes,ESP,"MF,FW",Villarreal,La Liga,19,10,0,163,1.8,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,10,11,33,0.55,0.0,0.55,0.55,0.55,0.26,0.22,0.47,0.26,0.47
2183,Pau Cabanes,ESP,"MF,FW",Alavés,La Liga,19,6,2,188,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,15,5,15,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
2184,Pau Cubarsí,ESP,DF,Barcelona,La Liga,17,35,29,2618,29.1,0,3,3,0,0,0,3,0,0.8,0.8,1.6,2.5,26,191,6,0.0,0.1,0.1,0.0,0.1,0.03,0.06,0.08,0.03,0.08
2185,Pau López,ESP,GK,Girona,La Liga,29,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2186,Pau Navarro,ESP,DF,Villarreal,La Liga,19,17,8,916,10.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,40,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2187,Pau Torres,ESP,DF,Aston Villa,Premier League,27,24,23,2020,22.4,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,40,97,8,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
2188,Pau Victor,ESP,FW,Barcelona,La Liga,22,21,2,319,3.5,2,1,3,2,0,0,2,0,3.0,3.0,0.9,3.9,6,11,28,0.56,0.28,0.85,0.56,0.85,0.85,0.24,1.09,0.85,1.09
2189,Paul Akouokou,CIV,MF,Lyon,Ligue 1,26,2,0,19,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2190,Paul Hennrich,GER,MF,Hoffenheim,Bundesliga,19,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2191,Paul Joly,FRA,DF,Auxerre,Ligue 1,24,26,10,1009,11.2,0,1,1,0,0,0,3,1,0.6,0.6,1.3,1.9,28,51,61,0.0,0.09,0.09,0.0,0.09,0.05,0.12,0.17,0.05,0.17
2192,Paul Nebel,GER,MF,Mainz 05,Bundesliga,21,31,26,2345,26.1,10,4,14,10,0,0,5,1,5.8,5.8,4.1,9.8,67,91,219,0.38,0.15,0.54,0.38,0.54,0.22,0.16,0.38,0.22,0.38
2193,Paul Onuachu,NGA,FW,Southampton,Premier League,30,25,11,1050,11.7,4,1,5,4,0,0,4,0,3.6,3.6,0.5,4.1,7,13,40,0.34,0.09,0.43,0.34,0.43,0.31,0.04,0.35,0.31,0.35
2194,Paul Wanner,GER,"MF,FW",Heidenheim,Bundesliga,18,29,20,1771,19.7,3,2,5,2,1,1,2,0,3.7,2.9,1.3,4.1,28,64,65,0.15,0.1,0.25,0.1,0.2,0.19,0.06,0.25,0.15,0.21
2195,Paulo Azzi,BRA,DF,Cagliari,Serie A,30,6,5,426,4.7,0,0,0,0,0,0,2,0,0.5,0.5,0.9,1.4,15,13,26,0.0,0.0,0.0,0.0,0.0,0.11,0.19,0.3,0.11,0.3
2196,Paulo Dybala,ARG,"FW,MF",Roma,Serie A,30,24,16,1417,15.7,6,3,9,3,3,3,2,0,6.4,4.0,5.0,9.0,41,79,122,0.38,0.19,0.57,0.19,0.38,0.4,0.32,0.72,0.25,0.57
2197,Paulo Gazzaniga,ARG,GK,Girona,La Liga,32,36,36,3195,35.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2198,Pavel Kadeřábek,CZE,DF,Hoffenheim,Bundesliga,32,24,18,1576,17.5,2,0,2,2,0,0,6,0,0.8,0.8,2.0,2.7,15,47,86,0.11,0.0,0.11,0.11,0.11,0.04,0.11,0.16,0.04,0.16
2199,Paweł Dawidowicz,POL,"DF,MF",Hellas Verona,Serie A,29,26,24,1845,20.5,0,0,0,0,0,0,7,1,0.3,0.3,0.0,0.3,10,39,3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
2200,Pedri,ESP,MF,Barcelona,La Liga,21,37,35,2879,32.0,4,5,9,4,0,0,3,0,2.2,2.2,7.4,9.6,92,360,136,0.13,0.16,0.28,0.13,0.28,0.07,0.23,0.3,0.07,0.3
2201,Pedro,ESP,"FW,MF",Lazio,Serie A,37,30,6,1102,12.2,10,1,11,8,2,2,2,0,5.3,3.8,1.7,5.4,48,76,89,0.82,0.08,0.9,0.65,0.74,0.44,0.14,0.57,0.31,0.44
2202,Pedro Chirivella,ESP,MF,Nantes,Ligue 1,27,30,28,2348,26.1,0,2,2,0,0,0,6,0,0.5,0.5,1.8,2.2,16,170,25,0.0,0.08,0.08,0.0,0.08,0.02,0.07,0.09,0.02,0.09
2203,Pedro Díaz,ESP,MF,Rayo Vallecano,La Liga,26,26,12,1211,13.5,3,0,3,3,0,1,2,0,2.4,1.6,2.1,3.7,27,62,49,0.22,0.0,0.22,0.22,0.22,0.18,0.16,0.33,0.12,0.27
2204,Pedro Lima,BRA,DF,Wolves,Premier League,18,3,1,70,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,4,4,11,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.16,0.07,0.16
2205,Pedro Neto,POR,FW,Chelsea,Premier League,24,35,24,2269,25.2,4,6,10,4,0,0,8,0,3.5,3.5,6.7,10.2,126,60,253,0.16,0.24,0.4,0.16,0.4,0.14,0.27,0.4,0.14,0.4
2206,Pedro Pereira,POR,DF,Monza,Serie A,26,35,32,2665,29.6,1,3,4,1,0,0,10,0,1.2,1.2,1.6,2.8,52,66,107,0.03,0.1,0.14,0.03,0.14,0.04,0.05,0.1,0.04,0.1
2207,Pedro Porro,ESP,DF,Tottenham,Premier League,24,33,28,2610,29.0,2,6,8,2,0,0,5,0,1.6,1.6,5.0,6.6,65,154,109,0.07,0.21,0.28,0.07,0.28,0.05,0.17,0.23,0.05,0.23
2208,Peio Canales,ESP,"MF,FW",Athletic Club,La Liga,19,8,2,259,2.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,6,6,11,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.15,0.07,0.15
2209,Pejiño,ESP,FW,Las Palmas,La Liga,28,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17
2210,Pelayo Fernandez,ESP,DF,Rayo Vallecano,La Liga,21,2,1,98,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2211,Pep Chavarría,ESP,"DF,FW",Rayo Vallecano,La Liga,26,34,28,2585,28.7,0,1,1,0,0,0,3,0,1.2,1.2,1.9,3.1,59,114,133,0.0,0.03,0.03,0.0,0.03,0.04,0.07,0.11,0.04,0.11
2212,Pepe Reina,ESP,GK,Como,Serie A,41,12,12,1034,11.5,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2213,Peque,ESP,"MF,FW",Sevilla,La Liga,21,26,14,1134,12.6,1,1,2,1,0,0,1,0,2.5,2.5,1.2,3.7,14,35,44,0.08,0.08,0.16,0.08,0.16,0.2,0.1,0.29,0.2,0.29
2214,Pere Milla,ESP,"MF,FW",Espanyol,La Liga,31,20,1,456,5.1,3,0,3,3,0,0,3,0,1.5,1.5,0.3,1.8,9,13,27,0.59,0.0,0.59,0.59,0.59,0.29,0.06,0.35,0.29,0.35
2215,Pervis Estupiñán,ECU,DF,Brighton,Premier League,26,30,26,2402,26.7,1,1,2,1,0,0,5,0,1.2,1.2,2.1,3.3,59,132,112,0.04,0.04,0.07,0.04,0.07,0.04,0.08,0.12,0.04,0.12
2216,Petar Stojanović,SVN,MF,Empoli,Serie A,28,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2217,Peter González,DOM,"MF,FW",Getafe,La Liga,22,17,2,477,5.3,0,0,0,0,0,0,1,0,1.3,1.3,0.1,1.4,8,6,33,0.0,0.0,0.0,0.0,0.0,0.24,0.02,0.26,0.24,0.26
2218,Phil Foden,ENG,"MF,FW",Manchester City,Premier League,24,28,20,1777,19.7,7,2,9,7,0,0,2,0,5.2,5.2,4.8,9.9,50,103,128,0.35,0.1,0.46,0.35,0.46,0.26,0.24,0.5,0.26,0.5
2219,Phil Harres,GER,FW,Holstein Kiel,Bundesliga,22,26,17,1544,17.2,8,1,9,8,0,0,3,0,5.9,5.9,1.3,7.2,12,16,71,0.47,0.06,0.52,0.47,0.52,0.34,0.07,0.42,0.34,0.42
2220,Philip Billing,DEN,MF,Napoli,Serie A,28,10,1,197,2.2,1,0,1,1,0,0,1,0,1.5,1.5,0.1,1.7,1,5,8,0.46,0.0,0.46,0.46,0.46,0.71,0.05,0.76,0.71,0.76
2221,Philip Billing,DEN,MF,Bournemouth,Premier League,28,10,1,184,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0.0,0.0,0.0,0.0,0.0,0.28,0.54,0.82,0.28,0.82
2222,Philipp Hofmann,GER,FW,Bochum,Bundesliga,31,32,27,2277,25.3,3,3,6,3,0,0,4,0,5.5,5.5,3.3,8.8,8,53,112,0.12,0.12,0.24,0.12,0.24,0.22,0.13,0.35,0.22,0.35
2223,Philipp Köhn,SUI,GK,Monaco,Ligue 1,26,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224,Philipp Lienhart,AUT,DF,Freiburg,Bundesliga,28,32,31,2770,30.8,1,0,1,1,0,0,5,0,0.5,0.5,0.8,1.2,44,138,9,0.03,0.0,0.03,0.03,0.03,0.02,0.02,0.04,0.02,0.04
2225,Philipp Sander,GER,MF,Gladbach,Bundesliga,26,27,16,1400,15.6,1,0,1,1,0,0,2,0,1.2,1.2,0.6,1.8,16,60,29,0.06,0.0,0.06,0.06,0.06,0.08,0.04,0.12,0.08,0.12
2226,Philipp Treu,GER,"MF,DF",St. Pauli,Bundesliga,23,33,33,2881,32.0,0,2,2,0,0,0,2,0,1.2,1.2,2.5,3.7,58,105,117,0.0,0.06,0.06,0.0,0.06,0.04,0.08,0.12,0.04,0.12
2227,Phillip Tietz,GER,FW,Augsburg,Bundesliga,27,34,19,1686,18.7,7,2,9,6,1,1,4,0,6.1,5.3,1.2,6.5,8,29,113,0.37,0.11,0.48,0.32,0.43,0.33,0.07,0.39,0.28,0.35
2228,Phillipp Mwene,AUT,DF,Mainz 05,Bundesliga,30,32,32,2607,29.0,1,4,5,1,0,0,7,0,1.5,1.5,1.9,3.4,62,106,144,0.03,0.14,0.17,0.03,0.17,0.05,0.06,0.12,0.05,0.12
2229,Pica,ESP,DF,Alavés,La Liga,22,9,5,499,5.5,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,3,15,0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.06,0.06,0.06
2230,Pierluigi Gollini,ITA,GK,Genoa,Serie A,29,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2231,Piero Hincapié,ECU,DF,Leverkusen,Bundesliga,22,32,28,2670,29.7,2,2,4,2,0,0,8,0,2.9,2.9,3.2,6.1,52,152,72,0.07,0.07,0.13,0.07,0.13,0.1,0.11,0.21,0.1,0.21
2232,Pierre Cornud,FRA,DF,Saint-Étienne,Ligue 1,27,11,7,576,6.4,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,11,19,17,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05
2233,Pierre Ekwah Elimby,FRA,MF,Saint-Étienne,Ligue 1,22,29,29,2575,28.6,1,0,1,1,0,0,3,0,0.7,0.7,1.0,1.7,20,146,21,0.03,0.0,0.03,0.03,0.03,0.03,0.04,0.06,0.03,0.06
2234,Pierre Højbjerg,DEN,MF,Marseille,Ligue 1,28,30,30,2664,29.6,2,4,6,2,0,0,5,0,3.3,3.3,3.9,7.1,36,263,43,0.07,0.14,0.2,0.07,0.2,0.11,0.13,0.24,0.11,0.24
2235,Pierre Kalulu,FRA,DF,Juventus,Serie A,24,29,25,2337,26.0,1,0,1,1,0,0,2,1,0.7,0.7,0.5,1.2,48,117,24,0.04,0.0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05
2236,Pierre Lees-Melou,FRA,MF,Brest,Ligue 1,31,20,17,1526,17.0,2,2,4,2,0,0,7,0,1.3,1.3,2.8,4.0,23,105,36,0.12,0.12,0.24,0.12,0.24,0.07,0.16,0.24,0.07,0.24
2237,Pierrick Capelle,FRA,MF,Angers,Ligue 1,37,16,3,483,5.4,0,0,0,0,0,0,4,0,0.2,0.2,1.2,1.4,10,22,17,0.0,0.0,0.0,0.0,0.0,0.04,0.22,0.26,0.04,0.26
2238,Pietro Comuzzo,ITA,DF,Fiorentina,Serie A,19,32,23,2110,23.4,1,0,1,1,0,0,5,0,0.5,0.5,0.6,1.1,14,75,12,0.04,0.0,0.04,0.04,0.04,0.02,0.02,0.05,0.02,0.05
2239,Pietro Pellegri,ITA,FW,Empoli,Serie A,23,11,5,414,4.6,3,0,3,3,0,0,2,0,0.3,0.3,0.6,0.9,12,8,28,0.65,0.0,0.65,0.65,0.65,0.06,0.12,0.19,0.06,0.19
2240,Pietro Terracciano,ITA,GK,Fiorentina,Serie A,34,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2241,Piotr Zieliński,POL,MF,Inter,Serie A,30,26,8,980,10.9,2,2,4,0,2,2,0,0,2.6,1.1,0.9,2.0,26,65,24,0.18,0.18,0.37,0.0,0.18,0.24,0.08,0.32,0.1,0.18
2242,Pol Lirola,ESP,DF,Marseille,Ligue 1,26,19,5,680,7.6,1,2,3,1,0,0,1,1,0.6,0.6,0.7,1.3,12,21,40,0.13,0.26,0.4,0.13,0.4,0.08,0.09,0.17,0.08,0.17
2243,Pol Lozano,ESP,MF,Espanyol,La Liga,24,30,27,1943,21.6,0,1,1,0,0,0,12,0,0.2,0.2,0.8,1.0,18,115,12,0.0,0.05,0.05,0.0,0.05,0.01,0.04,0.05,0.01,0.05
2244,Pontus Almqvist,SWE,"FW,MF",Parma,Serie A,25,29,10,1112,12.4,1,1,2,1,0,0,5,0,2.1,2.1,1.3,3.5,42,12,85,0.08,0.08,0.16,0.08,0.16,0.17,0.11,0.28,0.17,0.28
2245,Portu,ESP,"FW,MF",Girona,La Liga,32,27,6,779,8.7,1,2,3,1,0,0,4,0,1.6,1.6,1.7,3.3,20,16,79,0.12,0.23,0.35,0.12,0.35,0.19,0.19,0.38,0.19,0.38
2246,Presnel Kimpembe,FRA,DF,Paris S-G,Ligue 1,28,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2247,Prosper Peter,NGA,"MF,FW",Angers,Ligue 1,16,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2248,Przemysław Frankowski,POL,DF,Lens,Ligue 1,29,18,16,1387,15.4,4,2,6,2,2,2,3,0,2.3,0.7,2.5,3.2,33,117,95,0.26,0.13,0.39,0.13,0.26,0.15,0.16,0.31,0.05,0.21
2249,Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,34,30,30,2631,29.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2250,Quentin Merlin,FRA,DF,Marseille,Ligue 1,22,27,21,1589,17.7,1,3,4,1,0,0,1,0,2.1,2.1,3.0,5.0,40,86,169,0.06,0.17,0.23,0.06,0.23,0.12,0.17,0.28,0.12,0.28
2251,Rabby Nzingoula,CGO,MF,Montpellier,Ligue 1,18,27,20,1689,18.8,1,0,1,1,0,0,11,0,1.0,1.0,1.6,2.6,25,40,38,0.05,0.0,0.05,0.05,0.05,0.06,0.09,0.14,0.06,0.14
2252,Radosław Majecki,POL,GK,Monaco,Ligue 1,24,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2253,Radu Drăgușin,ROU,DF,Tottenham,Premier League,22,16,14,1252,13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
2254,Rafa Marín,ESP,DF,Napoli,Serie A,22,4,1,142,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,5,0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14
2255,Rafa Mir,ESP,"FW,MF",Valencia,La Liga,27,20,5,753,8.4,1,2,3,1,0,0,4,0,3.0,3.0,0.7,3.8,10,20,28,0.12,0.24,0.36,0.12,0.36,0.36,0.09,0.45,0.36,0.45
2256,Rafael Bauza,ESP,MF,Espanyol,La Liga,19,5,2,183,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
2257,Rafael Leão,POR,FW,Milan,Serie A,25,34,25,2323,25.8,8,8,16,8,0,0,5,0,7.6,7.6,8.4,15.9,123,93,262,0.31,0.31,0.62,0.31,0.62,0.29,0.32,0.62,0.29,0.62
2258,Rafael Tolói,ITA,DF,Atalanta,Serie A,33,11,2,468,5.2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,5,26,5,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05
2259,Rafik Messali,FRA,DF,Toulouse,Ligue 1,21,13,5,456,5.1,0,1,1,0,0,0,0,0,0.3,0.3,1.0,1.3,13,21,29,0.0,0.2,0.2,0.0,0.2,0.05,0.2,0.25,0.05,0.25
2260,Raheem Sterling,ENG,"FW,MF",Arsenal,Premier League,29,17,7,499,5.5,0,2,2,0,0,0,1,0,1.4,1.4,0.5,1.9,27,18,79,0.0,0.36,0.36,0.0,0.36,0.26,0.09,0.34,0.26,0.34
2261,Ramon Hendriks,NED,DF,Stuttgart,Bundesliga,23,25,10,1154,12.8,0,1,1,0,0,0,3,0,0.6,0.6,1.0,1.6,8,36,22,0.0,0.08,0.08,0.0,0.08,0.04,0.08,0.12,0.04,0.12
2262,Ramy Bensebaini,ALG,DF,Dortmund,Bundesliga,29,31,23,2022,22.5,1,6,7,1,0,0,6,0,1.3,1.3,3.2,4.5,26,128,58,0.04,0.27,0.31,0.04,0.31,0.06,0.14,0.2,0.06,0.2
2263,Ramón Martínez,ESP,DF,Sevilla,La Liga,21,5,2,261,2.9,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,1,5,2,0.34,0.0,0.34,0.34,0.34,0.12,0.02,0.14,0.12,0.14
2264,Ramón Sosa,PAR,"FW,MF",Nott'ham Forest,Premier League,24,19,1,295,3.3,1,0,1,1,0,0,1,0,1.0,1.0,0.5,1.5,12,6,17,0.31,0.0,0.31,0.31,0.31,0.31,0.15,0.45,0.31,0.45
2265,Ramón Terrats,ESP,"MF,FW",Villarreal,La Liga,23,11,1,131,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,1,7,3,0.0,0.0,0.0,0.0,0.0,0.04,0.19,0.22,0.04,0.22
2266,Ramón Terrats,ESP,"MF,FW",Getafe,La Liga,23,15,15,1219,13.5,4,1,5,4,0,0,1,0,2.2,2.2,2.5,4.7,8,36,37,0.3,0.07,0.37,0.3,0.37,0.16,0.19,0.35,0.16,0.35
2267,Randal Kolo Muani,FRA,FW,Juventus,Serie A,25,16,13,1160,12.9,8,1,9,7,1,1,0,0,4.7,3.9,1.6,5.5,21,20,100,0.62,0.08,0.7,0.54,0.62,0.36,0.12,0.49,0.3,0.43
2268,Randal Kolo Muani,FRA,FW,Paris S-G,Ligue 1,25,10,2,358,4.0,2,1,3,1,1,1,0,0,4.7,3.9,0.9,4.7,8,5,35,0.5,0.25,0.75,0.25,0.5,1.17,0.21,1.39,0.98,1.19
2269,Randy Nteka,ANG,FW,Rayo Vallecano,La Liga,26,24,16,1129,12.5,3,0,3,3,0,0,6,0,2.6,2.6,0.5,3.1,10,8,44,0.24,0.0,0.24,0.24,0.24,0.21,0.04,0.25,0.21,0.25
2270,Rani Khedira,GER,MF,Union Berlin,Bundesliga,30,32,31,2723,30.3,1,1,2,1,0,0,7,0,1.4,1.4,0.6,2.1,12,80,34,0.03,0.03,0.07,0.03,0.07,0.05,0.02,0.07,0.05,0.07
2271,Raoul Bellanova,ITA,DF,Torino,Serie A,24,1,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,0,5,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.11,0.03,0.11
2272,Raoul Bellanova,ITA,DF,Atalanta,Serie A,24,34,27,2402,26.7,0,9,9,0,0,0,3,0,1.1,1.1,4.7,5.8,83,87,191,0.0,0.34,0.34,0.0,0.34,0.04,0.18,0.22,0.04,0.22
2273,Raphaël Guerreiro,POR,"DF,MF",Bayern Munich,Bundesliga,30,23,19,1572,17.5,4,4,8,4,0,0,2,0,2.9,2.9,2.9,5.8,39,85,126,0.23,0.23,0.46,0.23,0.46,0.16,0.17,0.33,0.16,0.33
2274,Raphinha,BRA,"FW,MF",Barcelona,La Liga,27,36,32,2839,31.5,18,9,27,16,2,2,4,0,19.2,17.6,12.7,30.3,94,135,349,0.57,0.29,0.86,0.51,0.79,0.61,0.4,1.01,0.56,0.96
2275,Rareş Ilie,ROU,MF,Nice,Ligue 1,21,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,2,3,1,0.0,0.0,0.0,0.0,0.0,0.25,2.47,2.72,0.25,2.72
2276,Rareș-Cătălin Burnete,ROU,FW,Lecce,Serie A,20,4,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25
2277,Rasmus Højlund,DEN,FW,Manchester Utd,Premier League,21,32,23,2004,22.3,4,0,4,4,0,0,2,0,5.3,5.3,1.8,7.1,28,18,101,0.18,0.0,0.18,0.18,0.18,0.24,0.08,0.32,0.24,0.32
2278,Rasmus Kristensen,DEN,DF,Eint Frankfurt,Bundesliga,27,30,28,2513,27.9,5,3,8,5,0,0,4,0,2.5,2.5,3.1,5.6,51,172,162,0.18,0.11,0.29,0.18,0.29,0.09,0.11,0.2,0.09,0.2
2279,Rasmus Nicolaisen,DEN,DF,Toulouse,Ligue 1,27,7,7,623,6.9,0,1,1,0,0,0,0,0,0.4,0.4,0.2,0.7,3,27,2,0.0,0.14,0.14,0.0,0.14,0.06,0.03,0.1,0.06,0.1
2280,Rassoul Ndiaye,SEN,MF,Le Havre,Ligue 1,22,27,11,1061,11.8,1,0,1,1,0,0,2,0,1.7,1.7,0.6,2.4,6,46,30,0.08,0.0,0.08,0.08,0.08,0.15,0.05,0.2,0.15,0.2
2281,Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,23,37,37,3109,34.5,4,7,11,4,0,0,7,1,2.7,2.7,5.5,8.2,89,108,176,0.12,0.2,0.32,0.12,0.32,0.08,0.16,0.24,0.08,0.24
2282,Rayan Cherki,FRA,"FW,MF",Lyon,Ligue 1,20,30,22,2041,22.7,8,11,19,8,0,0,3,0,5.0,5.0,11.1,16.1,106,206,184,0.35,0.49,0.84,0.35,0.84,0.22,0.49,0.71,0.22,0.71
2283,Rayan Fofana,FRA,"FW,MF",Lens,Ligue 1,18,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2284,Rayan Raveloson,MAD,"MF,DF",Auxerre,Ligue 1,27,13,7,724,8.0,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.0,5,31,12,0.12,0.0,0.12,0.12,0.12,0.1,0.02,0.12,0.1,0.12
