,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,MinutesPer90,Goals,Assists,GoalsAndAssists,NonPenaltyGoals,PenaltiesScored,PenaltiesAttempted,CrdY,CrdR,ExpGoals,NPExpGoals,ExpAssists,NPExpGoalsAndAssists,PrgC,PrgP,PrgR,GoalsPer90,AssistsPer90,GoalsAndAssistsPer90,NPGoalsPer90,NPGoalsAndAssistsPer90,ExpGoalsPer90,ExpAssistsPer90,ExpGoalsAndAssistsPer90,NPExpGoalsPer90,NPExpGoalsAndAssistsPer90
760,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27,14,14,1260,14.0,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,10,77,0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
761,Emmanuel Agbadou,CIV,DF,Wolves,Premier League,27,16,16,1410,15.7,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,6,31,2,0.06,0.0,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07
762,Emmanuel Biumla,FRA,DF,Angers,Ligue 1,19,17,15,1336,14.8,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.8,3,16,0,0.07,0.0,0.07,0.07,0.07,0.05,0.0,0.05,0.05,0.05
763,Emmanuel Ekong,SWE,"MF,FW",Empoli,Serie A,22,15,0,186,2.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,8,5,19,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1
764,Emmanuel Gyasi,GHA,"DF,FW",Empoli,Serie A,30,37,37,3217,35.7,2,1,3,2,0,0,5,0,3.9,3.9,0.7,4.6,22,53,108,0.06,0.03,0.08,0.06,0.08,0.11,0.02,0.13,0.11,0.13
765,Emmanuel Koum Mbondo,FRA,DF,Marseille,Ligue 1,18,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
766,Emmanuel Sabbi,USA,"FW,MF",Le Havre,Ligue 1,26,15,7,653,7.3,0,0,0,0,0,0,1,0,1.9,1.9,0.6,2.5,11,15,39,0.0,0.0,0.0,0.0,0.0,0.27,0.08,0.35,0.27,0.35
767,Emre Can,GER,"DF,MF",Dortmund,Bundesliga,30,31,23,2105,23.4,3,0,3,1,2,2,4,1,2.0,0.4,0.7,1.1,20,116,12,0.13,0.0,0.13,0.04,0.04,0.08,0.03,0.11,0.02,0.05
768,Endika Buján,ESP,FW,Athletic Club,La Liga,21,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
769,Endrick,BRA,FW,Real Madrid,La Liga,18,22,3,363,4.0,1,0,1,1,0,0,1,0,2.5,2.5,0.5,3.0,12,8,32,0.25,0.0,0.25,0.25,0.25,0.61,0.12,0.73,0.61,0.73
770,Enes Ünal,TUR,"FW,MF",Bournemouth,Premier League,27,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.1,0.82,0.72,0.82
771,Enric Franquesa,ESP,"DF,FW",Leganés,La Liga,27,12,7,616,6.8,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,11,12,30,0.15,0.0,0.15,0.15,0.15,0.04,0.02,0.06,0.04,0.06
772,Enrico Del Prato,ITA,DF,Parma,Serie A,24,34,32,2947,32.7,4,0,4,4,0,0,8,0,2.0,2.0,1.2,3.2,8,81,31,0.12,0.0,0.12,0.12,0.12,0.06,0.04,0.1,0.06,0.1
